S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
496,ugolord,1900000,186000,4900,369,1900000
497,iamkailan,2400000,219900,1300,2200,2400000
498,lorengray,3100000,358700,879,761,3100000
499,daniuniverse,3100000,322000,956,867,3100000
500,ser_jay,1400000,226200,2500,3500,1400000
501,alexwaarren,2400000,419800,992,809,2400000
502,lkzinhu,2600000,306500,998,1300,2600000
503,joaoferdnan,1700000,173500,2100,4000,1700000
504,taossenpai,1200000,219600,1400,5300,1200000
505,isaach.p,1400000,217200,3500,2300,1400000
506,maddy.leah3,2000000,196300,4300,237,2000000
507,jordanavucetic,1100000,224200,5200,2100,1100000
508,carlevellyn,2000000,349600,2000,572,2000000
509,chinguamiga,2500000,469400,1100,377,2500000
510,elpugaa,2000000,220900,341,3700,2000000
511,reymbayang,1300000,253000,2000,3400,1300000
512,tommyunold,2300000,317800,2200,172,2300000
513,adamw,2400000,266300,915,1800,2400000
514,anna..paull,2400000,424700,1300,375,2400000
515,djadelilyes,2100000,311800,1100,1600,2100000
516,kronnozomberoficial,1400000,289100,2100,2300,1400000
517,outtpig,1500000,341000,1600,1700,1500000
518,rosssmith,1500000,156100,927,6300,1500000
519,glencachysaraofficial,4500000,212300,1300,522,4500000
520,pumatheweirdo,1500000,183000,722,5500,1500000
521,twinsjne,2400000,486900,783,665,2400000
522,andcarli,6300000,212200,684,578,6300000
523,mclivinho,2200000,312200,1400,1000,2200000
524,mrmilothechonk,1500000,313600,1300,2200,1500000
525,kimmigneault,3100000,358700,539,971,3100000
526,unnecessaryinventions,2400000,377900,1400,451,2400000
527,hunterprosper,1700000,320800,1000,2100,1700000
528,bulochkapelmen,2900000,184800,1900,1200,2900000
529,louka__m,1900000,354300,1200,1400,1900000
530,folz.aa,1100000,192300,1800,6000,1100000
531,iloveyourmomscatt,1300000,159300,4900,3300,1300000
532,austinandlexi,1800000,332600,1100,1700,1800000
533,lehvideira,903600,145100,1700,10800,903600
534,nathalieholscher14,3500000,295700,936,647,3500000
535,sa_h700,2000000,201700,1600,2500,2000000
536,ayanakamachi,3000000,204200,1100,1600,3000000
537,sebasmorenooo,3300000,293700,1400,300,3300000
538,larrayeeee,2000000,351200,2000,364,2000000
539,le_general_416,4700000,214700,762,847,4700000
540,everett,1900000,441400,768,1200,1900000
541,mcsilsiloficial,1600000,123300,2500,6000,1600000
542,alezha.obukhov,2600000,309200,1100,851,2600000
543,dermdoctor,3500000,248600,1000,826,3500000
544,abbycasselberry,1800000,348300,1000,1600,1800000
545,annapep3,1700000,337100,1300,1500,1700000
546,fabru_blacutt,2200000,242900,2400,562,2200000
547,songsforlittles,2600000,187500,1600,1700,2600000
548,marktilbury,2300000,224500,620,2400,2300000
549,georainbolt,1500000,247100,2000,2300,1500000
550,navacarlosss,1700000,98800,353,8900,1700000
551,lagranjadelborrego,3000000,349900,919,581,3000000
552,morimura,1500000,315400,1500,1800,1500000
553,oliviadearlove2,3000000,175900,1600,1300,3000000
554,eltonjohn,2800000,66800,2000,6200,2800000
555,conormaynard,1700000,160400,2500,3100,1700000
556,duncanyounot,1400000,366500,1300,1700,1400000
557,jrizzyjeremy,3100000,225200,768,1400,3100000
558,ahmadmahroom99,3300000,143500,923,2300,3300000
559,avascreams,1200000,372600,2800,639,1200000
560,erijasjas,1800000,385500,685,1500,1800000
561,artistliilz_,1600000,240000,2900,973,1600000
562,willian99music,1600000,143500,188,6300,1600000
563,cauamacedo,1600000,231000,2900,1100,1600000
564,sabrenorris,1800000,186900,4100,329,1800000
565,youshi_maru,1900000,145200,1100,4400,1900000
566,mdrr05,3000000,112600,1400,2900,3000000
567,deandreee,1900000,315100,826,1600,1900000
568,werenotreallystrangers,1700000,329500,1500,1200,1700000
569,poki,2300000,234800,2100,667,2300000
570,zbor0vska,1900000,288900,1400,1300,1900000
571,7odzz,2200000,162700,1600,2500,2200000
572,roportajadam,2100000,125400,411,5100,2100000
573,nadirdearabier,2100000,185100,3000,694,2100000
574,aydenmekus,2100000,204700,2900,491,2100000
575,thegnshow,2900000,287800,421,1300,2900000
576,ladydianka,1500000,189900,3400,1600,1500000
577,skuratof,1800000,151300,793,4400,1800000
578,saray.____,1400000,85600,2700,9400,1400000
579,kieram.litchfield,1400000,190800,2600,2800,1400000
580,laurence_benson,2900000,293000,1400,240,2900000
581,mohamed.hesham.official,1500000,43700,380,21100,1500000
582,jaywheeler,1600000,249800,856,2700,1600000
583,itsmatheuscosta,1400000,205800,2000,2800,1400000
584,soanhvadiephihi,3100000,328400,864,533,3100000
585,roadrunnerpete,926400,151600,2000,8000,926400
586,danivallem,1200000,86300,963,12400,1200000
587,com.hyuga1117,1500000,165800,4700,993,1500000
588,jasonderulo,6800000,186900,887,194,6800000
589,bilalfadilii,1600000,190500,2000,2600,1600000
590,mandrake1984real,1400000,170300,891,4900,1400000
591,kerri_okie,1100000,137300,4800,4300,1100000
592,championsleague,2300000,293500,823,1200,2300000
593,luvjunior14,1600000,432800,1400,610,1600000
594,sallyalawady1,3400000,187800,1700,446,3400000
595,felipenpv,1700000,259600,1800,1300,1700000
596,neitor.exe,2000000,307800,1600,709,2000000
597,camilo,2400000,275900,567,1500,2400000
598,thelondoncharles,1700000,374900,1400,751,1700000
599,keemokazi,2800000,351900,1100,258,2800000
600,frantastiktok,2100000,458400,587,807,2100000
601,elissadeheart,2000000,292400,974,1300,2000000
602,soulzang,796600,218300,2000,5700,796600
603,sweeettails,1400000,164400,828,5000,1400000
604,kane,1800000,221800,1300,2000,1800000
605,dreamlifex0,1200000,134100,5300,2700,1200000
606,omahi.tiktok,3500000,391900,777,188,3500000
607,tsezy,2000000,253500,1900,735,2000000
608,albertinasacaca1,2600000,241700,1600,505,2600000
609,brilionaire,2200000,229400,612,2000,2200000
610,wigofellas,2600000,158900,1900,1200,2600000
611,_.anime.edits_0,1700000,75600,1500,8700,1700000
612,christianfabiannn,2200000,311900,1800,130,2200000
613,gzfoodqood,4300000,213300,412,1000,4300000
614,thephysicshouse,1800000,307700,1900,507,1800000
615,benedictpolizzi,3600000,360200,230,775,3600000
616,main_and_aseel,3000000,178100,1400,1100,3000000
617,ahmedhelmy,2600000,184400,952,1800,2600000
618,analisseworld,1900000,358600,652,1300,1900000
619,zoecolletti,1800000,209700,3000,429,1800000
620,k4554ndr4,1000000,280400,1800,2700,1000000
621,kenchanachaisit,2000000,184600,1400,2100,2000000
622,sidaivan,2300000,149900,2200,1500,2300000
623,mrcaqui,978000,264500,833,4100,978000
624,rubxnillo,3800000,279000,282,925,3800000
625,com.yamato0515,1200000,176400,4300,1700,1200000
626,brentfordfc,1900000,252300,1600,1100,1900000
627,dede_harlan_,957700,228100,1900,3800,957700
628,yurinya1128,2300000,162300,2500,787,2300000
629,hannahkelekacook,1700000,231800,2700,444,1700000
630,marilynl19,1100000,162300,4400,2500,1100000
631,dixiedamelio,2400000,220500,1900,424,2400000
632,somi_official_,1500000,329600,2000,496,1500000
633,leanbeefpatty,1800000,277700,1500,1000,1800000
634,viki_tory88,1900000,48800,208,12900,1900000
635,jakekrantz,1300000,261900,701,3000,1300000
636,momonatamada,1700000,359300,1800,279,1700000
637,bankkamo46_,1500000,204700,1100,3000,1500000
638,surthycooks,2500000,273600,1400,353,2500000
639,sofiaespanha,1900000,284800,1300,996,1900000
640,waspycraft1,2300000,188600,922,1900,2300000
641,michou_yt,2400000,266700,1500,341,2400000
642,rachsullivan__,2000000,370200,739,927,2000000
643,piperrockelle,1900000,158400,3600,543,1900000
644,elmercanchi,1900000,138200,691,3900,1900000
645,danielzencon,1200000,174300,1100,4600,1200000
646,dennysumargoreal,3500000,187200,1400,386,3500000
647,jakeandrich,2100000,164200,1600,1900,2100000
648,andreluizframbach,3600000,216200,285,1300,3600000
649,6666pd,924500,153300,422,7900,924500
650,skaijackson,2100000,441500,899,372,2100000
651,nickrowedder,1000000,264300,1700,2700,1000000
652,esneni,1400000,283100,2500,477,1400000
653,bellafoodie,2400000,313700,474,1100,2400000
654,guywithamoviecamera,1400000,329000,1100,1400,1400000
655,chocopla_osada,2300000,107900,977,3800,2300000
656,jaydafnwayda,1600000,230700,1000,2200,1600000
657,abusrwal1996,1700000,190600,2100,1400,1700000
658,luara,2700000,185900,1900,403,2700000
659,cesarpantoja.n,2200000,347100,1200,283,2200000
660,islasvlogs_,2900000,313700,842,416,2900000
661,postmalone,1900000,176000,1400,2000,1900000
662,ana_eusse,3000000,392200,825,141,3000000
663,jeromepolin98,1500000,231100,2400,924,1500000
664,good.boy.ollie,997600,250300,1400,3200,997600
665,huntersolo,2600000,399400,709,383,2600000
666,frigerrr,1300000,327900,1100,1500,1300000
667,trungruoi93,3700000,112600,639,2100,3700000
668,riyukabunga,1900000,132400,2300,2300,1900000
669,nildachiaraviglio,1500000,78900,478,9400,1500000
670,dina_kalanta,3100000,243200,1200,341,3100000
671,foodtimecali,1500000,120100,250,6000,1500000
672,magalligjimenez,2800000,136900,2300,717,2800000
673,braceletsbyk_,1700000,226100,1100,1800,1700000
674,manja_faiez,2300000,142700,1100,2300,2300000
675,firmanskd,1400000,144500,397,5100,1400000
676,joe.bartolozzi,1800000,293300,1800,379,1800000
677,itsniane,1100000,128900,2000,5900,1100000
678,melon.n.finn,1000000,213900,1900,3300,1000000
679,khairulaming,1700000,248500,1200,1400,1700000
680,dudamaryah,2000000,284600,701,1300,2000000
681,andresgjohnson,1100000,186400,935,4500,1100000
682,luongthingocha,2400000,286100,1400,226,2400000
683,gergomezzz,1100000,210300,1300,3300,1100000
684,dilanjaniyar_2,1900000,228500,1900,603,1900000
685,raulbazanm,2200000,184000,964,1800,2200000
686,tabithaswatosh,2300000,362200,1100,203,2300000
687,iniganta,1300000,160700,3300,1900,1300000
688,herranwalt,1400000,177700,2600,1800,1400000
689,kreebinnear,1800000,307100,819,1200,1800000
690,iamgeraldhuston,1500000,261400,1300,1600,1500000
691,loayramadan10,2800000,190500,760,1300,2800000
692,madisonbeer,1200000,224400,2700,1300,1200000
693,...anddy_,937100,141900,7300,792,937100
694,meqs,3100000,136000,1100,1500,3100000
695,charlotteless,2400000,226200,544,1500,2400000
696,cristobalsoria,1100000,111400,3800,4900,1100000
697,hisoyvaleria,1400000,189000,1000,3000,1400000
698,bennyvelour,786500,184400,2500,4900,786500
699,carlosferiag,2500000,203700,1900,163,2500000
700,pkcreedon,1400000,235400,1400,1800,1400000
701,loganlisle,1700000,78200,315,7800,1700000
702,sunnyjutt1296,2000000,204500,1400,1200,2000000
703,mealsbymitch,1700000,95400,951,5400,1700000
704,patinscascavel,878300,62400,295,18800,878300
705,son_dan,3700000,185100,670,841,3700000
706,zane,2000000,323800,775,863,2000000
707,didiwinx,2000000,289700,1300,575,2000000
708,rank.ali,3100000,144400,1700,630,3100000
709,farhakhalidi,2200000,202600,1400,880,2200000
710,oli_natu,2200000,305300,749,777,2200000
711,fedez,1300000,229000,1400,2000,1300000
712,wei__official,959500,229600,2800,1900,959500
713,xuxameneghel,2300000,177200,1800,716,2300000
714,jzgarcia,969200,233900,1000,3500,969200
715,blkk.1,1600000,237200,1100,1600,1600000
716,kodasteven,1500000,330100,1300,785,1500000
717,sampepper,3100000,227000,799,642,3100000
718,tifannylm,2800000,355600,816,222,2800000
719,maithana9er,2500000,96000,2700,1700,2500000
720,carrydisini,3100000,274100,518,694,3100000
721,lockedinout,1600000,210400,883,2100,1600000
722,pipepunk,951400,235200,962,3500,951400
723,rapaellcug,923100,194600,2400,3200,923100
724,michaeloftiktok,1400000,186000,1400,2500,1400000
725,mrnigelng,2100000,251200,621,1300,2100000
726,6footkillaa,1600000,257200,1800,588,1600000
727,haijoel,4000000,192200,1100,231,4000000
728,esnyrrr,1600000,289600,778,1400,1600000
729,hairupkneesdownh0e,1200000,170000,3900,946,1200000
730,morganveraa,2000000,238000,1000,1100,2000000
731,laurahfritz,1300000,254100,1100,1900,1300000
732,jdiasss_,1300000,265400,1800,1200,1300000
733,greatekyroga,1100000,320300,1900,1000,1100000
734,jomaryee,2300000,226700,1300,626,2300000
735,kikakiim,1900000,220000,1700,646,1900000
736,pepperonimuffin,2200000,433500,809,225,2200000
737,shayvise,2100000,412800,774,361,2100000
738,thejoeyswoll,1700000,240800,2200,322,1700000
739,kieuduylong16,2500000,243900,1400,220,2500000
740,sajads111,2000000,71200,1100,6000,2000000
741,bobbialthoff,2900000,207400,477,1100,2900000
742,josefineholum,1500000,221300,1400,1500,1500000
743,lyodrabeneran,2200000,172500,1400,1100,2200000
744,armando_netto,2100000,226100,1900,225,2100000
745,rachaeloneil,2000000,144000,1600,1800,2000000
746,andremastijan,1200000,111500,876,6200,1200000
747,pamibabyy,1700000,288900,679,1300,1700000
748,xawado,1700000,137500,1900,2300,1700000
749,annafontanela,2100000,313400,1200,292,2100000
750,aragonclyrics,1300000,94400,96,7700,1300000
751,jadepicon,2000000,311100,967,567,2000000
752,simpforatispaul,2100000,355100,853,423,2100000
753,legendasmania,1100000,135100,231,6200,1100000
754,philiptanasas,2200000,252900,1100,610,2200000
755,zainah.mb,1000000,208100,1100,3200,1000000
756,ffrangomez,1400000,253400,349,2300,1400000
757,sibenitoo,2500000,185700,1500,598,2500000
758,benazelart,2600000,221600,1200,452,2600000
759,lgndfrvr,1600000,200500,1100,1800,1600000
760,worldofxtra,943600,290600,1400,2000,943600
761,so.077,1800000,119100,2700,1800,1800000
762,ehgml._.16,1400000,273500,1200,1300,1400000
763,kelvinsabinoof,1000000,156800,2700,3200,1000000
764,bradley.thor,1300000,142400,1800,3200,1300000
765,anxietycouple,2400000,271000,893,526,2400000
766,alostrich,1100000,134300,1000,5100,1100000
767,goharsguide,2000000,306000,724,779,2000000
768,viliacarl,2800000,243100,881,470,2800000
769,riaricis,2300000,242700,764,878,2300000
770,k0uvr,2700000,422500,562,240,2700000
771,jorgitoparrillero,1500000,99500,333,6000,1500000
772,mell_editz0,1500000,229900,1500,1100,1500000
773,homemdehonra,944300,37700,710,25000,944300
774,claragnds,1900000,191800,1800,648,1900000
775,jakepaul,1500000,156400,2300,1600,1500000
776,albert_cancook,2400000,265200,829,624,2400000
777,soapinmymouthoncemore,943300,189600,1900,3100,943300
778,cirowhites1.0,1700000,301700,908,895,1700000
779,theshabakitchen,1300000,114100,1800,4300,1300000
780,rubiaramallho,2100000,156400,613,2100,2100000
781,bessan_esmail,2100000,160500,1400,1300,2100000
782,ypk.raye,1800000,332500,890,642,1800000
783,edlyninbatangas,2300000,175000,558,1700,2300000
784,armandogreiser,621400,112500,1300,11400,621400
785,internet.elise,926900,206500,597,4000,926900
786,ikercasillas,1600000,191800,2100,783,1600000
787,rizwanfadilah.a.s,1000000,205200,2200,2100,1000000
788,bigdaddydmurph,1900000,125100,1400,2400,1900000
789,fukada0318,2600000,164000,1300,751,2600000
790,coleandersonj,1400000,262100,1100,1200,1400000
791,moneybagyo85,4400000,216100,680,244,4400000
792,luisonfelix2,2300000,99500,1100,2800,2300000
793,davidgetial,1900000,322500,1100,291,1900000
794,jezzzini,856400,239000,1100,3200,856400
795,sherinicolee,2800000,263200,1100,103,2800000
796,fujiiian,2200000,221600,1100,681,2200000
797,anardreams,3000000,131100,1900,376,3000000
798,1_alkaisr_1,1900000,182100,690,1800,1900000
799,joslum,2300000,364900,779,252,2300000
800,erabii,2100000,132800,1400,1700,2100000
801,ycn.benz,1300000,44000,849,14800,1300000
802,conradovillagra,3200000,260400,864,167,3200000
803,haniaheheofficiall,2000000,190900,1800,432,2000000
804,julesleblanc,2200000,322500,952,270,2200000
805,real_animasinopal,2900000,277700,451,619,2900000
806,vivinovikaa,1600000,197900,1700,945,1600000
807,erikatitus,1600000,329700,1100,525,1600000
808,_amanndaraujo,3500000,172600,997,400,3500000
809,tuankiet.2000,2900000,216500,1100,268,2900000
810,madelineargy,1500000,337700,1100,581,1500000
811,melon.228,2400000,185600,1000,868,2400000
812,joelsvnny,1100000,208300,2300,1300,1100000
813,theandrewschulz,1400000,192900,613,2600,1400000
814,littlebubbychild,853500,65500,1500,13400,853500
815,jeonifty,800400,235700,1200,3200,800400
816,annaxsitar,2600000,372800,417,442,2600000
817,agustinlocutor,1600000,100000,986,4200,1600000
818,meosimmyyt,1100000,137100,4700,626,1100000
819,bryceheemjames,1400000,237600,1800,688,1400000
820,c4tluvr666,1600000,312600,934,765,1600000
821,losariasbrothers,1600000,241400,476,1600,1600000
822,stainedhands,1600000,335300,359,1200,1600000
823,romanlolo,1900000,170400,2000,579,1900000
824,slayeas,1800000,239700,837,1100,1800000
825,mo_vlogs,4900000,189600,577,300,4900000
826,volvydooya,1100000,233100,1200,2000,1100000
827,simoneberlini,1600000,259800,868,1100,1600000
828,aileenchristineee,1400000,224100,681,1900,1400000
829,funny_v.i.p,1600000,196500,476,2100,1600000
830,barbaracoura,1400000,295700,1000,922,1400000
831,nada_m7amed,1800000,190800,812,1500,1800000
832,yesimresmi1,3500000,122500,1100,765,3500000
833,hjevelyn,1100000,245900,2400,661,1100000
834,wubzzy69,911900,194800,1700,2700,911900
835,onlyjayus,1600000,237400,1600,503,1600000
836,nyx.lynnx,1600000,155500,1800,1400,1600000
837,dhddecor,1100000,141100,574,4400,1100000
838,shoelover99,1000000,169200,4200,481,1000000
839,alzoubinadia,1500000,75900,738,6200,1500000
840,emilwarren1,1200000,211300,2600,617,1200000
841,clmnsbrock,1400000,152800,532,3300,1400000
842,alxjames,896700,152800,899,4800,896700
843,tanamongeaulol,2100000,234500,1200,412,2100000
844,cassholland,1900000,287700,856,571,1900000
845,arfaytb,894100,108700,456,7600,894100
846,britneyspears,1300000,107800,3500,2300,1300000
847,h2balla,2000000,234200,1400,274,2000000
848,elalfaeljeferd,1900000,198600,639,1400,1900000
849,adamsheey,1200000,235900,845,1900,1200000
850,maxthemeatguy,2100000,273100,622,720,2100000
851,iamauroramusic,1600000,216200,1600,659,1600000
852,haritsuuu,1800000,92700,2300,2500,1800000
853,vidhia_r,1100000,151500,2900,1700,1100000
854,t_400,1500000,219300,1300,982,1500000
855,gabrielabee,1200000,239100,2200,432,1200000
856,fyp,1300000,245400,1900,535,1300000
857,dangthuhaf,2500000,300400,672,341,2500000
858,miguelito_peru,1800000,113900,1000,2800,1800000
859,mesitaaa,1600000,326800,611,886,1600000
860,munir.107,1200000,88400,371,6700,1200000
861,plethoraklaus,730300,179200,3900,1900,730300
862,alexandramadison_,971200,135000,552,5200,971200
863,playboyjuju,1700000,120100,2400,1300,1700000
864,beamngshorts,2900000,158900,1000,630,2900000
865,susymourizz,1800000,212200,1500,470,1800000
866,themerkins,600100,150900,1400,6800,600100
867,carloandsarah,2100000,219600,695,924,2100000
868,paupelaez_,1200000,257600,2100,336,1200000
869,okichloeo,1400000,188200,1900,962,1400000
870,mrs.wahlberg,1200000,147800,3200,986,1200000
871,apinyabunying,1500000,204100,1200,1300,1500000
872,imanthonyvargas,1800000,292100,1200,247,1800000
873,creatingwonders,752900,96300,1400,8800,752900
874,nalgalia.g,1600000,182600,449,2200,1600000
875,zeinazeee,2200000,185600,820,990,2200000
876,notmarkharris,754300,192500,1700,3300,754300
877,boywithuke,1600000,242300,1600,306,1600000
878,lilyxgarcia,1700000,248500,972,760,1700000
879,rose.friederike,3100000,123900,974,930,3100000
880,kaylamalecc,1700000,277300,1400,128,1700000
881,theonlycb3,1000000,235100,2100,1000,1000000
882,carloscastroes,1600000,166500,285,2500,1600000
883,hf37777,1100000,17600,5800,31900,1100000
884,jfkexplainsjokes,888800,181600,3400,1100,888800
885,johnmicheal1996,930600,109500,784,6300,930600
886,celinaspookyboo,1600000,246700,1200,625,1600000
887,yg_treasure_tiktok,830500,216900,2200,1800,830500
888,0808sakura,1200000,144700,2700,1500,1200000
889,danethegreatt,1300000,109600,896,4300,1300000
890,thedonato,1300000,152800,3500,92,1300000
891,afrae.es,2700000,185700,594,860,2700000
892,rifirdus,2100000,158900,845,1300,2100000
893,lilmabuu,2000000,206900,1200,504,2000000
894,nadaahmed__1,2200000,150100,907,1200,2200000
895,maxtaylorlifts,1300000,231200,1200,1200,1300000
896,daddyyankee,1200000,197800,1800,1200,1200000
897,imchef7,1300000,189300,530,2500,1300000
898,acdc,1100000,182200,879,2600,1100000
899,subarumotorsportsusa,1000000,161900,840,3400,1000000
900,in_the_nic_of_time,2400000,263500,752,362,2400000
901,its.michhh,1900000,260400,1200,218,1900000
902,alwanr__,2500000,237000,630,558,2500000
903,hieubuiba,2800000,260600,796,185,2800000
904,atom221220,1300000,241800,1400,821,1300000
905,cedriklorenzen,1100000,115300,2300,3200,1100000
906,aureliehermansyahatta,2100000,187400,989,779,2100000
907,abopermak,2300000,69700,2600,1700,2300000
908,therealdrmiami,1300000,270600,681,1300,1300000
909,47bato,1300000,172500,1100,2100,1300000
910,priimoraa,2000000,345500,293,726,2000000
911,dylanhoogerwerf,2300000,271400,779,318,2300000
912,reesewitherspoon,1500000,147900,2300,878,1500000
913,olisboa,1600000,262900,601,1100,1600000
914,altarvision,1100000,268100,1100,1200,1100000
915,jakehunterofficial,2000000,127800,2400,353,2000000
916,huddy,2000000,147900,1800,529,2000000
917,ikerlafuente,1000000,162500,2900,1100,1000000
918,niallmacmillan,1500000,123200,973,2700,1500000
919,nhabebap,2500000,267800,689,319,2500000
920,lightskinmexican0,746100,119800,824,6700,746100
921,elecherlee,1500000,138300,2700,632,1500000
922,summerhays.bros,1300000,188300,539,2200,1300000
923,amxnahali,1000000,178200,2300,1400,1000000
924,dudeperfect,2300000,327400,469,416,2300000
925,j0a0zinh0,1100000,203900,1100,1900,1100000
926,tonystatovci,991700,224500,889,2100,991700
927,sanjosejules,2300000,274500,566,486,2300000
928,zanfilms,2700000,98700,1200,1300,2700000
929,melch.cooks,1600000,156400,2000,729,1600000
930,sweizayne,907700,164400,1900,2500,907700
931,taetoowavy,873000,171300,1900,2400,873000
932,a.l.capone,863000,34500,629,21300,863000
933,chris,1800000,368000,559,424,1800000
934,lance210,2300000,218400,535,784,2300000
935,mozamir,1400000,175900,1800,869,1400000
936,abdullah_eltourky,1800000,200500,824,968,1800000
937,fionntime,910200,210300,1400,2000,910200
938,ngoc.matcha,1100000,150000,3300,617,1100000
939,posterised,1500000,199700,715,1400,1500000
940,texassbitty,1100000,126100,918,3700,1100000
941,ethankleinh3,970500,136600,3000,1900,970500
942,emrata,2000000,186800,965,752,2000000
943,mahmooud_shaar,3000000,100200,941,1200,3000000
944,anyaischuk,1900000,219300,877,692,1900000
945,.02h.88m,917800,172600,1600,2400,917800
946,thiennhan5272,2900000,216800,712,295,2900000
947,elchaparrito951,1300000,49500,525,9300,1300000
948,angryreactions,1500000,257100,1300,376,1500000
949,thereallifeguys,2300000,216100,639,626,2300000
950,aspenackley,1300000,192100,598,1900,1300000
951,gutierrezcastro,1100000,147900,894,3000,1100000
952,joelbergs,1900000,317500,511,528,1900000
953,ragnarlebretonofficiel,1500000,135400,400,2700,1500000
954,cowboyjess,1600000,315900,719,509,1600000
955,busheadoph,3200000,209900,709,215,3200000
956,ryansunandar,873200,85700,5400,2900,873200
957,nathaliavalente,2300000,242900,731,375,2300000
958,mohaimen.alaa,1200000,171200,1900,1200,1200000
959,itsmenicksmithy2,1700000,208600,982,806,1700000
960,noeldeyzel_bodybuilder,1400000,228200,1000,885,1400000
961,_liltam,2200000,281600,370,623,2200000
962,mak.beh,2600000,233200,676,336,2600000
963,rajaabelmir,1400000,133800,1100,2300,1400000
964,ditanganu,2400000,211400,846,363,2400000
965,kinosgina,1600000,87500,2800,1800,1600000
966,texasbushman,1200000,197000,611,2000,1200000
967,notorious_foodie,1700000,177700,528,1500,1700000
968,10july__,1000000,123100,672,4300,1000000
969,lamminhduc2404,2300000,88600,2300,686,2300000
970,papavince.davao,899600,116100,2800,3000,899600
971,namyulenka,1500000,229900,1200,654,1500000
972,bankrolldyl,1100000,226900,1200,1200,1100000
973,interesting.thingsz,2400000,186000,991,357,2400000
974,psg,1700000,177600,1400,576,1700000
975,elo_os,1600000,276900,716,637,1600000
976,zenitfc,1900000,221500,1000,378,1900000
977,lauralove5514,1500000,230200,1100,705,1500000
978,rbplaying,1400000,100200,675,3600,1400000
979,manutd,1600000,188700,1500,519,1600000
980,amika0429.14,1300000,96800,3200,1500,1300000
981,chikn.nuggit,948500,146900,3200,1100,948500
982,aidanmrz,2500000,157800,991,512,2500000
983,shehabeldin100,1400000,141000,1600,1400,1400000
984,mrchiquitolina,805200,163600,487,4000,805200
985,nacha_acashore,2200000,231300,434,743,2200000
986,melanypalacioss,1600000,352500,909,137,1600000
987,fortcraft354,1400000,156800,2600,70,1400000
988,davidspade,1100000,158600,1500,1800,1100000
989,monika.kociolek,1100000,170400,2500,614,1100000
990,yayisrenteria,1900000,133600,382,1900,1900000
991,fabirommel,1000000,105800,573,4900,1000000
992,juanito_pochi,2100000,191300,671,781,2100000
993,brandonspam_,1500000,236500,1400,220,1500000
994,macy.blackwell,1100000,104400,382,4700,1100000
995,calebrownn,834600,148200,1900,2800,834600
996,brendadialoy,1200000,187500,626,2000,1200000
997,jujufitcats,2200000,280800,380,558,2200000
998,xoteam,2500000,180200,859,450,2500000
999,kimsnwuo,957400,226800,908,1700,957400
1000,jass_mcg,503800,116000,8100,1800,503800
