Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Time,Traffic Situation
3,31,0,4,4,39,0,low
3,49,0,3,3,55,0.010416667,low
3,46,0,3,6,55,0.020833333,low
3,51,0,2,5,58,0.03125,low
3,57,6,15,16,94,0.041666667,normal
3,44,0,5,4,53,0.052083333,low
3,37,0,1,4,42,0.0625,low
3,42,4,4,5,55,0.072916667,low
3,51,0,9,7,67,0.083333333,low
3,34,0,4,7,45,0.09375,low
3,45,0,1,1,47,0.104166667,low
3,45,0,1,3,49,0.114583333,low
3,50,0,3,0,53,0.125,low
3,34,0,4,4,42,0.135416667,low
3,129,22,42,1,194,0.145833333,heavy
3,144,16,49,0,209,0.15625,heavy
3,111,28,20,3,162,0.166666667,normal
3,67,11,10,16,104,0.177083333,normal
3,65,24,7,16,112,0.1875,normal
3,94,27,7,16,144,0.197916667,normal
3,94,20,8,7,129,0.208333333,normal
3,67,29,5,10,111,0.21875,low
3,56,12,2,14,84,0.229166667,normal
3,57,13,3,11,84,0.239583333,low
3,129,22,42,1,194,0.25,heavy
3,144,16,49,0,209,0.260416667,heavy
3,111,28,20,3,162,0.270833333,normal
3,120,27,46,3,196,0.28125,heavy
3,102,39,47,1,189,0.291666667,heavy
3,145,23,27,0,195,0.302083333,heavy
3,114,37,21,5,177,0.3125,heavy
3,108,18,22,1,149,0.322916667,normal
3,122,28,33,1,184,0.333333333,heavy
3,114,39,30,3,186,0.34375,heavy
3,150,36,25,1,212,0.354166667,heavy
3,107,10,49,2,168,0.364583333,heavy
3,124,24,22,0,170,0.375,heavy
3,77,16,39,29,161,0.385416667,high
3,15,23,30,21,89,0.395833333,normal
3,32,22,38,21,113,0.40625,high
3,68,13,29,24,134,0.416666667,high
3,27,16,36,30,109,0.427083333,normal
3,76,7,11,15,109,0.4375,normal
3,41,23,20,17,101,0.447916667,normal
3,33,10,3,29,75,0.458333333,normal
3,58,8,14,29,109,0.46875,normal
3,65,7,11,26,109,0.479166667,normal
3,47,9,6,29,91,0.489583333,normal
3,38,10,5,25,78,0.5,normal
3,57,8,12,29,106,0.510416667,normal
3,20,6,4,20,50,0.520833333,normal
3,24,9,14,23,70,0.53125,normal
3,52,10,13,21,96,0.541666667,normal
3,79,15,36,18,148,0.552083333,high
3,84,24,22,18,148,0.5625,normal
3,59,19,35,16,129,0.572916667,high
3,88,26,31,19,164,0.583333333,high
3,24,11,32,13,80,0.59375,normal
3,110,17,23,20,170,0.604166667,heavy
3,29,26,5,6,66,0.614583333,low
3,43,26,11,20,100,0.625,normal
3,68,28,9,15,120,0.635416667,normal
3,108,16,8,18,150,0.645833333,normal
3,101,26,8,14,149,0.65625,normal
3,141,31,36,6,214,0.666666667,heavy
3,120,25,28,5,178,0.677083333,heavy
3,137,23,44,5,209,0.6875,heavy
3,124,11,30,7,172,0.697916667,heavy
3,145,25,49,7,226,0.708333333,heavy
3,122,37,23,8,190,0.71875,heavy
3,136,30,20,9,195,0.729166667,heavy
3,145,18,40,9,212,0.739583333,heavy
3,138,34,28,5,205,0.75,heavy
3,123,10,29,8,170,0.760416667,heavy
3,105,15,21,9,150,0.770833333,normal
3,75,22,20,11,128,0.78125,normal
3,90,12,10,13,125,0.791666667,normal
3,102,22,20,16,160,0.802083333,normal
3,61,18,15,27,121,0.8125,high
3,70,8,14,6,98,0.822916667,low
3,80,17,12,34,143,0.833333333,high
3,62,12,14,19,107,0.84375,normal
3,96,5,11,13,125,0.854166667,normal
3,102,6,12,13,133,0.864583333,normal
3,91,14,15,6,126,0.875,normal
3,95,8,17,13,133,0.885416667,normal
3,75,15,12,21,123,0.895833333,high
3,53,21,20,10,104,0.90625,normal
3,13,1,0,19,33,0.916666667,normal
3,10,0,1,24,35,0.927083333,normal
3,16,2,0,33,51,0.9375,normal
3,11,1,0,29,41,0.947916667,normal
3,18,2,1,13,34,0.958333333,normal
3,15,0,1,11,27,0.96875,low
3,14,1,0,33,48,0.979166667,normal
3,17,2,0,22,41,0.989583333,normal
4,12,2,1,17,32,0,normal
4,18,0,0,29,47,0.010416667,normal
4,16,1,0,14,31,0.020833333,normal
4,20,0,0,14,34,0.03125,normal
4,20,1,1,30,52,0.041666667,normal
4,15,0,1,23,39,0.052083333,normal
4,16,0,1,26,43,0.0625,normal
4,18,4,0,11,33,0.072916667,low
4,17,3,1,36,57,0.083333333,normal
4,14,4,1,10,29,0.09375,low
4,18,2,1,25,46,0.104166667,normal
4,12,2,0,19,33,0.114583333,normal
4,11,4,0,30,45,0.125,normal
4,19,1,1,36,57,0.135416667,normal
4,10,4,0,36,50,0.145833333,normal
4,20,1,1,32,54,0.15625,normal
4,15,5,1,40,61,0.166666667,normal
4,104,6,5,1,116,0.177083333,normal
4,109,25,3,8,145,0.1875,normal
4,82,23,8,20,133,0.197916667,normal
4,81,25,1,18,125,0.208333333,normal
4,95,16,10,1,122,0.21875,normal
4,91,24,7,6,128,0.229166667,normal
4,81,30,10,0,121,0.239583333,normal
4,125,13,26,2,166,0.25,high
4,125,39,49,3,216,0.260416667,heavy
4,125,34,37,1,197,0.270833333,heavy
4,125,19,25,4,173,0.28125,heavy
4,125,15,49,0,189,0.291666667,heavy
4,125,32,50,5,212,0.302083333,heavy
4,125,38,50,1,214,0.3125,heavy
4,125,29,29,3,186,0.322916667,heavy
4,125,31,48,4,208,0.333333333,heavy
4,125,32,50,0,207,0.34375,heavy
4,125,31,45,0,201,0.354166667,heavy
4,125,21,20,1,167,0.364583333,normal
4,125,28,36,0,189,0.375,heavy
4,39,10,37,16,102,0.385416667,normal
4,89,8,12,13,122,0.395833333,normal
4,51,16,16,13,96,0.40625,normal
4,17,9,18,28,72,0.416666667,normal
4,48,25,36,21,130,0.427083333,high
4,93,7,30,16,146,0.4375,high
4,55,15,36,15,121,0.447916667,high
4,51,10,8,22,91,0.458333333,normal
4,51,7,3,24,85,0.46875,normal
4,51,9,7,30,97,0.479166667,normal
4,51,7,14,20,92,0.489583333,normal
4,51,10,14,20,95,0.5,normal
4,51,10,6,22,89,0.510416667,normal
4,51,8,11,22,92,0.520833333,normal
4,51,6,10,26,93,0.53125,normal
4,51,7,7,27,92,0.541666667,normal
4,104,17,25,20,166,0.552083333,normal
4,6,28,27,14,75,0.5625,normal
4,54,29,37,9,129,0.572916667,high
4,43,13,30,20,106,0.583333333,normal
4,60,21,26,11,118,0.59375,high
4,101,23,8,20,152,0.604166667,normal
4,62,26,19,11,118,0.614583333,normal
4,39,24,13,11,87,0.625,low
4,90,20,35,7,152,0.635416667,high
4,109,30,22,20,181,0.645833333,heavy
4,68,26,25,20,139,0.65625,normal
4,142,22,37,6,207,0.666666667,heavy
4,113,14,20,5,152,0.677083333,normal
4,142,13,37,8,200,0.6875,heavy
4,108,23,26,9,166,0.697916667,high
4,122,29,30,7,188,0.708333333,heavy
4,133,12,30,7,182,0.71875,heavy
4,118,23,38,10,189,0.729166667,heavy
4,121,35,26,8,190,0.739583333,heavy
4,116,23,20,8,167,0.75,normal
4,132,12,27,8,179,0.760416667,heavy
4,144,17,33,7,201,0.770833333,heavy
4,103,21,11,11,146,0.78125,normal
4,107,15,10,15,147,0.791666667,normal
4,50,10,10,17,87,0.802083333,normal
4,108,15,10,6,139,0.8125,normal
4,108,24,15,29,176,0.822916667,heavy
4,101,6,15,13,135,0.833333333,normal
4,55,17,12,19,103,0.84375,normal
4,77,7,20,16,120,0.854166667,normal
4,91,12,19,8,130,0.864583333,normal
4,95,25,17,29,166,0.875,high
4,78,17,17,27,139,0.885416667,high
4,98,16,16,21,151,0.895833333,high
4,86,13,11,35,145,0.90625,high
4,18,4,0,16,38,0.916666667,normal
4,18,5,0,12,35,0.927083333,low
4,18,2,1,25,46,0.9375,normal
4,18,1,0,17,36,0.947916667,normal
4,18,5,0,21,44,0.958333333,normal
4,18,0,1,12,31,0.96875,low
4,18,3,1,28,50,0.979166667,normal
4,18,4,1,40,63,0.989583333,normal
5,18,1,1,39,59,0,normal
5,18,4,0,30,52,0.010416667,normal
5,18,5,1,13,37,0.020833333,normal
5,18,2,0,37,57,0.03125,normal
5,18,0,0,13,31,0.041666667,normal
5,18,5,0,11,34,0.052083333,low
5,18,5,1,12,36,0.0625,low
5,18,1,1,16,36,0.072916667,normal
5,18,1,1,34,54,0.083333333,normal
5,18,1,0,24,43,0.09375,normal
5,18,0,0,23,41,0.104166667,normal
5,18,0,0,27,45,0.114583333,normal
5,18,5,0,28,51,0.125,normal
5,18,1,0,14,33,0.135416667,normal
5,18,5,0,25,48,0.145833333,normal
5,18,4,1,30,53,0.15625,normal
5,18,5,1,30,54,0.166666667,normal
5,62,24,7,2,95,0.177083333,low
5,51,23,6,1,81,0.1875,low
5,114,23,10,19,166,0.197916667,normal
5,85,22,9,9,125,0.208333333,normal
5,102,24,4,20,150,0.21875,normal
5,101,18,3,17,139,0.229166667,normal
5,116,19,0,17,152,0.239583333,normal
5,117,38,50,5,210,0.25,heavy
5,114,32,34,2,182,0.260416667,heavy
5,120,17,23,1,161,0.270833333,normal
5,145,20,25,2,192,0.28125,heavy
5,125,30,48,1,204,0.291666667,heavy
5,103,27,45,1,176,0.302083333,heavy
5,114,20,43,1,178,0.3125,heavy
5,145,10,44,1,200,0.322916667,heavy
5,147,31,20,4,202,0.333333333,heavy
5,104,24,40,0,168,0.34375,heavy
5,124,11,22,0,157,0.354166667,normal
5,101,37,31,4,173,0.364583333,heavy
5,144,30,37,1,212,0.375,heavy
5,24,18,37,18,97,0.385416667,normal
5,24,8,17,25,74,0.395833333,normal
5,16,22,12,20,70,0.40625,normal
5,26,2,39,26,93,0.416666667,normal
5,90,7,18,15,130,0.427083333,normal
5,59,6,11,11,87,0.4375,low
5,28,7,22,18,75,0.447916667,normal
5,60,5,14,21,100,0.458333333,normal
5,69,9,8,23,109,0.46875,normal
5,59,9,12,26,106,0.479166667,normal
5,24,10,5,21,60,0.489583333,normal
5,41,7,7,21,76,0.5,normal
5,48,10,9,29,96,0.510416667,normal
5,59,10,14,23,106,0.520833333,normal
5,67,7,12,28,114,0.53125,high
5,52,9,8,20,89,0.541666667,normal
5,45,26,29,10,110,0.552083333,normal
5,14,21,7,18,60,0.5625,normal
5,55,22,24,10,111,0.572916667,normal
5,45,14,39,5,103,0.583333333,normal
5,90,17,16,11,134,0.59375,normal
5,33,21,25,5,84,0.604166667,normal
5,118,25,31,13,187,0.614583333,heavy
5,86,28,13,5,132,0.625,normal
5,105,29,22,12,168,0.635416667,heavy
5,10,19,26,8,63,0.645833333,normal
5,46,22,18,9,95,0.65625,normal
5,105,35,48,6,194,0.666666667,heavy
5,135,37,34,5,211,0.677083333,heavy
5,103,29,44,6,182,0.6875,heavy
5,113,13,42,10,178,0.697916667,heavy
5,103,20,27,9,159,0.708333333,high
5,150,13,20,9,192,0.71875,heavy
5,116,25,33,8,182,0.729166667,heavy
5,109,16,41,9,175,0.739583333,heavy
5,112,11,50,5,178,0.75,heavy
5,104,31,30,5,170,0.760416667,heavy
5,146,18,40,6,210,0.770833333,heavy
5,110,24,10,29,173,0.78125,heavy
5,60,15,12,25,112,0.791666667,high
5,103,9,14,29,155,0.802083333,high
5,102,6,15,6,129,0.8125,normal
5,51,17,16,8,92,0.822916667,normal
5,62,12,11,18,103,0.833333333,normal
5,103,14,12,5,134,0.84375,normal
5,50,7,11,23,91,0.854166667,normal
5,80,14,20,6,120,0.864583333,normal
5,98,13,18,21,150,0.875,high
5,53,25,20,13,111,0.885416667,normal
5,52,8,10,27,97,0.895833333,normal
5,71,23,13,21,128,0.90625,high
5,17,3,0,29,49,0.916666667,normal
5,20,5,1,36,62,0.927083333,normal
5,15,0,0,32,47,0.9375,normal
5,15,0,1,20,36,0.947916667,normal
5,14,2,0,23,39,0.958333333,normal
5,13,1,0,29,43,0.96875,normal
5,14,5,0,31,50,0.979166667,normal
5,16,3,0,33,52,0.989583333,normal
6,18,4,1,15,38,0,normal
6,20,0,1,23,44,0.010416667,normal
6,19,3,0,16,38,0.020833333,normal
6,10,3,0,12,25,0.03125,low
6,10,4,0,23,37,0.041666667,normal
6,12,5,0,29,46,0.052083333,normal
6,10,0,0,39,49,0.0625,normal
6,16,2,1,21,40,0.072916667,normal
6,18,4,1,36,59,0.083333333,normal
6,15,1,0,14,30,0.09375,normal
6,17,4,0,13,34,0.104166667,normal
6,18,3,1,24,46,0.114583333,normal
6,19,2,0,11,32,0.125,low
6,19,3,0,21,43,0.135416667,normal
6,19,3,1,31,54,0.145833333,normal
6,14,2,1,19,36,0.15625,normal
6,11,0,0,27,38,0.166666667,normal
6,27,6,1,11,45,0.177083333,low
6,33,11,6,13,63,0.1875,normal
6,63,6,7,10,86,0.197916667,low
6,58,13,4,15,90,0.208333333,normal
6,57,11,7,10,85,0.21875,low
6,63,10,6,12,91,0.229166667,low
6,74,9,0,15,98,0.239583333,normal
6,71,9,7,10,97,0.25,low
6,33,9,6,13,61,0.260416667,normal
6,29,6,1,12,48,0.270833333,low
6,32,9,3,11,55,0.28125,low
6,57,14,3,11,85,0.291666667,low
6,31,11,0,14,56,0.302083333,normal
6,30,9,3,10,52,0.3125,low
6,61,8,7,12,88,0.322916667,low
6,47,10,4,10,71,0.333333333,low
6,80,16,4,15,115,0.34375,normal
6,49,10,2,10,71,0.354166667,low
6,58,7,5,13,83,0.364583333,normal
6,53,19,1,10,83,0.375,low
6,132,47,25,0,204,0.385416667,heavy
6,131,52,15,0,198,0.395833333,heavy
6,171,59,27,3,260,0.40625,heavy
6,131,43,20,3,197,0.416666667,heavy
6,177,56,12,4,249,0.427083333,heavy
6,160,47,30,3,240,0.4375,heavy
6,178,68,28,4,278,0.447916667,heavy
6,169,70,20,3,262,0.458333333,heavy
6,133,56,25,2,216,0.46875,heavy
6,151,52,13,0,216,0.479166667,heavy
6,179,46,27,3,255,0.489583333,heavy
6,144,68,20,0,232,0.5,heavy
6,162,46,19,2,229,0.510416667,heavy
6,159,44,23,2,228,0.520833333,heavy
6,174,67,30,1,272,0.53125,heavy
6,136,57,29,4,226,0.541666667,heavy
6,156,42,12,3,213,0.552083333,heavy
6,175,63,19,3,260,0.5625,heavy
6,172,62,20,2,256,0.572916667,heavy
6,171,49,15,0,235,0.583333333,heavy
6,172,65,18,2,257,0.59375,heavy
6,176,50,13,1,240,0.604166667,heavy
6,153,50,23,3,229,0.614583333,heavy
6,148,64,27,0,239,0.625,heavy
6,56,28,6,2,92,0.635416667,low
6,88,26,25,0,139,0.645833333,normal
6,82,23,14,0,119,0.65625,normal
6,77,20,7,0,104,0.666666667,low
6,66,24,1,0,91,0.677083333,low
6,72,22,8,2,104,0.6875,low
6,62,28,21,2,113,0.697916667,normal
6,66,26,4,1,97,0.708333333,low
6,85,20,4,0,109,0.71875,low
6,87,24,11,2,124,0.729166667,normal
6,67,28,25,0,120,0.739583333,normal
6,70,26,16,2,114,0.75,normal
6,62,20,20,1,103,0.760416667,normal
6,67,29,1,0,97,0.770833333,low
6,65,25,1,1,92,0.78125,low
6,76,24,23,0,123,0.791666667,normal
6,42,1,5,11,59,0.802083333,low
6,42,10,3,1,56,0.8125,low
6,31,11,1,12,55,0.822916667,low
6,47,7,3,6,63,0.833333333,low
6,28,7,2,4,41,0.84375,low
6,22,3,6,1,32,0.854166667,low
6,29,1,7,5,42,0.864583333,low
6,43,9,1,11,64,0.875,low
6,23,3,3,8,37,0.885416667,low
6,21,2,5,15,43,0.895833333,normal
6,31,2,1,9,43,0.90625,low
6,15,5,0,18,38,0.916666667,normal
6,11,2,0,15,28,0.927083333,normal
6,12,0,1,17,30,0.9375,normal
6,18,3,0,18,39,0.947916667,normal
6,19,1,0,31,51,0.958333333,normal
6,17,0,0,22,39,0.96875,normal
6,15,5,0,14,34,0.979166667,normal
6,15,1,1,24,41,0.989583333,normal
7,18,4,0,33,55,0,normal
7,14,4,0,34,52,0.010416667,normal
7,14,0,1,19,34,0.020833333,normal
7,19,3,0,36,58,0.03125,normal
7,10,4,1,21,36,0.041666667,normal
7,19,1,0,19,39,0.052083333,normal
7,18,5,0,26,49,0.0625,normal
7,17,1,1,25,44,0.072916667,normal
7,20,2,0,12,34,0.083333333,low
7,15,5,0,15,35,0.09375,normal
7,11,4,0,14,29,0.104166667,normal
7,14,3,1,18,36,0.114583333,normal
7,13,2,0,39,54,0.125,normal
7,17,5,0,29,51,0.135416667,normal
7,13,5,0,31,49,0.145833333,normal
7,18,5,0,35,58,0.15625,normal
7,15,4,0,16,35,0.166666667,normal
7,55,15,5,3,78,0.177083333,low
7,76,10,7,9,102,0.1875,low
7,98,0,9,19,126,0.197916667,normal
7,98,12,6,6,122,0.208333333,normal
7,103,2,10,20,135,0.21875,normal
7,93,17,8,12,130,0.229166667,normal
7,115,27,9,16,167,0.239583333,normal
7,120,12,22,3,157,0.25,normal
7,142,18,27,0,187,0.260416667,heavy
7,117,29,49,2,197,0.270833333,heavy
7,126,36,24,0,186,0.28125,heavy
7,110,39,38,5,192,0.291666667,heavy
7,149,20,39,5,213,0.302083333,heavy
7,109,29,23,5,166,0.3125,normal
7,124,34,24,4,186,0.322916667,heavy
7,149,35,32,1,217,0.333333333,heavy
7,125,32,38,4,199,0.34375,heavy
7,101,23,38,1,163,0.354166667,high
7,137,36,30,0,203,0.364583333,heavy
7,139,15,21,3,178,0.375,heavy
7,19,3,29,9,60,0.385416667,normal
7,13,11,39,7,70,0.395833333,normal
7,31,2,29,27,89,0.40625,normal
7,18,24,21,22,85,0.416666667,normal
7,26,12,14,13,65,0.427083333,normal
7,31,15,13,28,87,0.4375,normal
7,12,22,8,11,53,0.447916667,low
7,54,5,13,23,95,0.458333333,normal
7,59,7,13,21,100,0.46875,normal
7,58,8,6,23,95,0.479166667,normal
7,53,8,9,25,95,0.489583333,normal
7,54,7,7,20,88,0.5,normal
7,39,10,4,29,82,0.510416667,normal
7,38,9,8,22,77,0.520833333,normal
7,36,5,10,23,74,0.53125,normal
7,68,6,12,24,110,0.541666667,normal
7,50,18,26,14,108,0.552083333,normal
7,120,28,22,20,190,0.5625,heavy
7,60,14,28,9,111,0.572916667,normal
7,105,14,8,19,146,0.583333333,normal
7,89,27,18,8,142,0.59375,normal
7,28,17,31,10,86,0.604166667,normal
7,79,14,23,6,122,0.614583333,normal
7,15,11,30,14,70,0.625,normal
7,77,27,23,18,145,0.635416667,normal
7,19,14,24,6,63,0.645833333,normal
7,79,13,28,7,127,0.65625,high
7,114,10,22,9,155,0.666666667,normal
7,150,30,22,5,207,0.677083333,heavy
7,142,23,25,7,197,0.6875,heavy
7,111,36,25,6,178,0.697916667,heavy
7,143,37,38,8,226,0.708333333,heavy
7,120,37,43,10,210,0.71875,heavy
7,147,20,49,7,223,0.729166667,normal
7,140,22,27,5,194,0.739583333,heavy
7,128,37,20,9,194,0.75,heavy
7,114,23,42,10,189,0.760416667,heavy
7,117,20,22,9,168,0.770833333,heavy
7,93,24,17,23,157,0.78125,high
7,65,15,15,8,103,0.791666667,low
7,100,22,14,8,144,0.802083333,normal
7,85,12,11,18,126,0.8125,normal
7,56,7,12,12,87,0.822916667,low
7,50,12,15,18,95,0.833333333,normal
7,74,9,11,12,106,0.84375,low
7,73,15,18,7,113,0.854166667,normal
7,99,13,20,30,162,0.864583333,high
7,110,14,17,8,149,0.875,normal
7,82,5,12,34,133,0.885416667,high
7,58,19,12,17,106,0.895833333,normal
7,70,10,14,32,126,0.90625,high
7,10,1,0,33,44,0.916666667,normal
7,14,1,1,40,56,0.927083333,normal
7,17,1,1,17,36,0.9375,normal
7,12,4,1,22,39,0.947916667,normal
7,15,0,0,16,31,0.958333333,normal
7,13,4,0,25,42,0.96875,normal
7,14,5,1,12,32,0.979166667,low
7,18,1,1,35,55,0.989583333,normal
1,18,5,1,19,43,0,normal
1,19,3,0,38,60,0.010416667,normal
1,13,0,1,12,26,0.020833333,low
1,20,0,1,38,59,0.03125,normal
1,20,1,1,24,46,0.041666667,normal
1,17,3,1,17,38,0.052083333,normal
1,12,3,1,35,51,0.0625,normal
1,19,0,1,30,50,0.072916667,normal
1,19,2,1,30,52,0.083333333,normal
1,18,1,0,16,35,0.09375,normal
1,11,0,0,31,42,0.104166667,normal
1,10,1,1,12,24,0.114583333,low
1,16,1,0,24,41,0.125,normal
1,18,3,0,28,49,0.135416667,normal
1,20,1,1,39,61,0.145833333,normal
1,19,3,1,27,50,0.15625,normal
1,14,1,1,34,50,0.166666667,normal
1,61,26,1,16,104,0.177083333,normal
1,72,26,6,4,108,0.1875,low
1,86,24,3,18,131,0.197916667,normal
1,75,1,8,10,94,0.208333333,low
1,75,1,7,9,92,0.21875,low
1,93,5,4,1,103,0.229166667,low
1,111,6,2,5,124,0.239583333,normal
1,111,18,41,2,172,0.25,heavy
1,114,27,46,0,187,0.260416667,heavy
1,139,19,50,2,210,0.270833333,heavy
1,109,14,38,1,162,0.28125,high
1,105,16,22,3,146,0.291666667,normal
1,150,13,31,4,198,0.302083333,heavy
1,122,13,47,3,185,0.3125,heavy
1,114,24,46,2,186,0.322916667,heavy
1,119,36,41,0,196,0.333333333,heavy
1,108,35,39,0,182,0.34375,heavy
1,113,18,28,1,160,0.354166667,high
1,118,36,37,0,191,0.364583333,heavy
1,113,35,48,3,199,0.375,heavy
1,66,7,22,30,125,0.385416667,high
1,64,12,27,8,111,0.395833333,normal
1,37,5,13,11,66,0.40625,low
1,82,17,31,20,150,0.416666667,high
1,63,5,23,12,103,0.427083333,normal
1,20,12,16,24,72,0.4375,normal
1,46,5,34,9,94,0.447916667,normal
1,35,9,8,29,81,0.458333333,normal
1,33,9,11,21,74,0.46875,normal
1,32,9,10,30,81,0.479166667,normal
1,62,10,6,22,100,0.489583333,normal
1,62,10,11,22,105,0.5,normal
1,54,10,12,25,101,0.510416667,normal
1,48,8,15,23,94,0.520833333,normal
1,20,10,12,24,66,0.53125,normal
1,35,10,5,30,80,0.541666667,normal
1,112,15,40,10,177,0.552083333,heavy
1,51,21,25,13,110,0.5625,normal
1,53,12,23,8,96,0.572916667,normal
1,63,22,18,15,118,0.583333333,normal
1,50,23,16,8,97,0.59375,normal
1,94,20,35,17,166,0.604166667,high
1,7,27,39,17,90,0.614583333,normal
1,109,18,13,6,146,0.625,normal
1,18,27,19,6,70,0.635416667,normal
1,21,30,5,5,61,0.645833333,low
1,49,16,9,12,86,0.65625,low
1,129,28,40,6,203,0.666666667,heavy
1,141,18,28,8,195,0.677083333,heavy
1,131,14,43,7,195,0.6875,heavy
1,105,38,23,5,171,0.697916667,heavy
1,125,35,37,5,202,0.708333333,heavy
1,127,36,42,9,214,0.71875,heavy
1,129,22,25,9,185,0.729166667,heavy
1,121,39,47,8,215,0.739583333,heavy
1,138,29,42,9,218,0.75,heavy
1,119,26,21,5,171,0.760416667,heavy
1,138,17,48,8,211,0.770833333,heavy
1,72,12,14,32,130,0.78125,high
1,92,23,20,30,165,0.791666667,high
1,94,17,11,24,146,0.802083333,high
1,102,25,12,24,163,0.8125,high
1,71,23,17,14,125,0.822916667,normal
1,58,5,19,25,107,0.833333333,normal
1,93,22,18,10,143,0.84375,normal
1,59,23,10,35,127,0.854166667,high
1,57,20,10,20,107,0.864583333,normal
1,96,9,18,25,148,0.875,high
1,104,12,16,20,152,0.885416667,normal
1,104,22,17,23,166,0.895833333,high
1,88,8,11,29,136,0.90625,high
1,20,3,0,16,39,0.916666667,normal
1,17,2,1,30,50,0.927083333,normal
1,17,4,0,23,44,0.9375,normal
1,15,5,0,21,41,0.947916667,normal
1,10,0,1,31,42,0.958333333,normal
1,11,1,1,19,32,0.96875,normal
1,12,2,0,29,43,0.979166667,normal
1,11,0,1,11,23,0.989583333,low
2,18,4,1,28,51,0,normal
2,13,3,0,26,42,0.010416667,normal
2,16,3,0,34,53,0.020833333,normal
2,16,4,0,35,55,0.03125,normal
2,20,2,1,33,56,0.041666667,normal
2,14,4,1,28,47,0.052083333,normal
2,11,4,1,19,35,0.0625,normal
2,19,4,0,17,40,0.072916667,normal
2,18,3,1,26,48,0.083333333,normal
2,10,1,1,21,33,0.09375,normal
2,20,5,1,40,66,0.104166667,normal
2,11,5,0,37,53,0.114583333,normal
2,15,4,1,29,49,0.125,normal
2,16,2,1,27,46,0.135416667,normal
2,10,3,1,23,37,0.145833333,normal
2,16,5,1,31,53,0.15625,normal
2,20,0,1,30,51,0.166666667,normal
2,61,4,5,17,87,0.177083333,normal
2,91,8,6,2,107,0.1875,low
2,94,4,5,2,105,0.197916667,low
2,117,8,6,16,147,0.208333333,normal
2,111,14,10,14,149,0.21875,normal
2,91,2,3,5,101,0.229166667,low
2,96,9,1,16,122,0.239583333,normal
2,134,15,42,5,196,0.25,heavy
2,121,35,39,4,199,0.260416667,heavy
2,118,40,40,3,201,0.270833333,heavy
2,115,17,40,1,173,0.28125,heavy
2,106,22,37,0,165,0.291666667,high
2,147,26,40,0,213,0.302083333,heavy
2,102,13,31,2,148,0.3125,high
2,102,12,24,3,141,0.322916667,normal
2,130,40,31,2,203,0.333333333,heavy
2,102,17,33,0,152,0.34375,high
2,105,13,48,5,171,0.354166667,heavy
2,129,24,25,0,178,0.364583333,heavy
2,117,11,45,0,173,0.375,heavy
2,74,14,23,21,132,0.385416667,high
2,80,14,35,18,147,0.395833333,high
2,31,7,34,24,96,0.40625,normal
2,18,15,9,15,57,0.416666667,normal
2,15,10,23,20,68,0.427083333,normal
2,37,18,8,16,79,0.4375,normal
2,10,7,5,14,36,0.447916667,normal
2,54,6,15,23,98,0.458333333,normal
2,34,7,5,24,70,0.46875,normal
2,50,7,8,21,86,0.479166667,normal
2,44,9,10,24,87,0.489583333,normal
2,63,8,15,24,110,0.5,normal
2,56,6,6,29,97,0.510416667,normal
2,69,5,13,27,114,0.520833333,high
2,39,5,3,30,77,0.53125,normal
2,61,10,14,24,109,0.541666667,normal
2,61,30,5,20,116,0.552083333,normal
2,20,17,9,5,51,0.5625,low
2,70,22,38,7,137,0.572916667,high
2,25,30,31,9,95,0.583333333,normal
2,23,13,12,6,54,0.59375,low
2,105,30,24,8,167,0.604166667,normal
2,107,10,6,6,129,0.614583333,normal
2,40,20,36,7,103,0.625,normal
2,74,18,37,11,140,0.635416667,high
2,62,15,8,11,96,0.645833333,low
2,81,20,14,12,127,0.65625,normal
2,111,32,43,5,191,0.666666667,heavy
2,145,12,41,6,204,0.677083333,heavy
2,139,11,20,7,177,0.6875,heavy
2,129,40,31,10,210,0.697916667,heavy
2,128,22,28,8,186,0.708333333,heavy
2,103,17,23,8,151,0.71875,normal
2,127,32,29,7,195,0.729166667,heavy
2,120,35,44,8,207,0.739583333,heavy
2,106,11,41,7,165,0.75,high
2,114,40,31,5,190,0.760416667,heavy
2,101,13,20,7,141,0.770833333,normal
2,110,25,19,34,188,0.78125,heavy
2,108,6,17,23,154,0.791666667,high
2,104,12,10,10,136,0.802083333,normal
2,102,22,17,23,164,0.8125,high
2,77,19,16,8,120,0.822916667,normal
2,70,16,19,33,138,0.833333333,high
2,75,9,13,28,125,0.84375,high
2,95,9,16,29,149,0.854166667,high
2,77,17,17,22,133,0.864583333,high
2,73,16,14,34,137,0.875,high
2,59,7,18,12,96,0.885416667,normal
2,54,20,10,9,93,0.895833333,low
2,90,6,18,32,146,0.90625,high
2,15,5,1,32,53,0.916666667,normal
2,12,1,0,11,24,0.927083333,low
2,17,2,0,28,47,0.9375,normal
2,13,5,1,12,31,0.947916667,low
2,15,5,0,21,41,0.958333333,normal
2,18,4,0,11,33,0.96875,low
2,12,4,0,21,37,0.979166667,normal
2,10,4,1,12,27,0.989583333,low
